timestamp,open,high,low,close,volume
1609692300000,2.04750000,2.05350000,1.96230000,1.97850000,132441.06000000
1609693200000,1.97450000,2.00600000,1.89380000,1.92440000,233458.01000000
1609694100000,1.91580000,2.00290000,1.91400000,1.98660000,131347.10000000
1609695000000,1.98650000,1.98650000,1.94930000,1.96900000,105662.68000000
1609695900000,1.97370000,1.98790000,1.95620000,1.96990000,48421.44000000
1609696800000,1.96990000,1.98780000,1.96070000,1.98780000,22779.49000000
1609697700000,1.98710000,1.99630000,1.95160000,1.95230000,35801.63000000
1609698600000,1.95190000,1.99480000,1.94390000,1.98830000,78192.25000000
1609699500000,1.98610000,2.00190000,1.97750000,1.99510000,26381.28000000
1609700400000,1.99510000,2.00000000,1.97440000,1.98410000,49247.20000000
1609701300000,1.98050000,1.98610000,1.95000000,1.95010000,35395.43000000
1609702200000,1.95040000,1.97510000,1.95000000,1.95000000,29745.31000000
1609703100000,1.95000000,1.96630000,1.95000000,1.96380000,19556.47000000
1609704000000,1.96380000,1.96750000,1.94720000,1.96230000,38310.69000000
1609704900000,1.96620000,1.98000000,1.96250000,1.97490000,28453.48000000
1609705800000,1.97440000,2.01060000,1.96760000,1.99730000,46458.17000000
1609706700000,1.99890000,2.00950000,1.98580000,2.00900000,16484.06000000
1609707600000,2.00530000,2.05870000,1.99830000,2.04240000,86878.06000000
1609708500000,2.04240000,2.05280000,2.03420000,2.03770000,42132.47000000
1609709400000,2.03770000,2.03990000,2.00070000,2.00250000,46090.57000000
1609710300000,2.00590000,2.02350000,2.00000000,2.02120000,38333.41000000
1609711200000,2.02210000,2.02350000,2.00190000,2.01460000,28363.03000000
1609712100000,2.01750000,2.06710000,2.01320000,2.06660000,50523.22000000
1609713000000,2.06590000,2.07790000,2.03580000,2.06740000,62625.73000000
1609713900000,2.06790000,2.08070000,2.03980000,2.07570000,37191.92000000
1609714800000,2.07600000,2.14520000,2.06500000,2.12250000,114731.51000000
1609715700000,2.13240000,2.15700000,2.11840000,2.14220000,120417.66000000
1609716600000,2.14610000,2.16000000,2.12500000,2.13440000,96709.08000000
1609717500000,2.13440000,2.18500000,2.09570000,2.17790000,173635.42000000
1609718400000,2.17890000,2.27000000,2.11000000,2.12700000,208200.53000000
1609719300000,2.11660000,2.19990000,2.10000000,2.17960000,92599.68000000
1609720200000,2.17850000,2.19590000,2.10590000,2.14620000,78995.96000000
1609721100000,2.14980000,2.25500000,2.13260000,2.22410000,151035.58000000
1609722000000,2.22090000,2.29840000,2.17620000,2.27850000,88963.94000000
1609722900000,2.27710000,2.28720000,2.18100000,2.19130000,67609.17000000
1609723800000,2.19150000,2.24380000,2.16000000,2.22730000,52601.49000000
1609724700000,2.22730000,2.32000000,2.22730000,2.29770000,155973.52000000
1609725600000,2.30330000,2.40000000,2.29920000,2.33490000,184432.62000000
1609726500000,2.34240000,2.39230000,2.34240000,2.37150000,77957.10000000
1609727400000,2.37060000,2.40000000,2.33510000,2.37110000,134622.15000000
1609728300000,2.37050000,2.38000000,2.27000000,2.31100000,210240.37000000
1609729200000,2.31080000,2.33190000,2.29300000,2.29780000,47394.52000000
1609730100000,2.29780000,2.31200000,2.26460000,2.27290000,62838.97000000
1609731000000,2.27300000,2.30990000,2.26260000,2.30020000,50245.36000000
1609731900000,2.30420000,2.34490000,2.29990000,2.30940000,33863.47000000
1609732800000,2.30900000,2.31210000,2.28200000,2.30700000,25492.22000000
1609733700000,2.30970000,2.31390000,2.27470000,2.28830000,62145.81000000
1609734600000,2.28800000,2.29960000,2.24280000,2.28810000,39074.94000000
1609735500000,2.28810000,2.34970000,2.28000000,2.34270000,38030.03000000
1609736400000,2.33350000,2.34250000,2.28020000,2.28350000,39096.50000000
1609737300000,2.28840000,2.32850000,2.28300000,2.31370000,32780.55000000
1609738200000,2.31500000,2.32710000,2.27000000,2.27890000,26830.37000000
1609739100000,2.27700000,2.31380000,2.27090000,2.28090000,36765.46000000
1609740000000,2.27900000,2.30500000,2.26140000,2.27910000,23996.81000000
1609740900000,2.27840000,2.32640000,2.27140000,2.31250000,66505.54000000
1609741800000,2.31250000,2.37580000,2.30320000,2.32390000,35344.90000000
1609742700000,2.32340000,2.34280000,2.24830000,2.25370000,53303.73000000
1609743600000,2.25840000,2.34800000,2.24870000,2.30170000,118892.89000000
1609744500000,2.30130000,2.30880000,2.14590000,2.16790000,135676.84000000
1609745400000,2.16790000,2.21540000,2.08650000,2.10570000,149130.87000000
1609746300000,2.10570000,2.13350000,2.08270000,2.11680000,102512.33000000
1609747200000,2.11530000,2.19990000,2.11530000,2.19160000,100697.24000000
1609748100000,2.19590000,2.21380000,2.12440000,2.13280000,100449.89000000
1609749000000,2.13510000,2.16210000,2.00000000,2.03170000,223646.32000000
1609749900000,2.03170000,2.12020000,2.01000000,2.06650000,156149.20000000
1609750800000,2.06660000,2.12420000,2.02310000,2.02310000,86527.10000000
1609751700000,2.02680000,2.07240000,2.00010000,2.00090000,117098.21000000
1609752600000,2.00750000,2.01160000,1.90610000,1.98480000,189817.23000000
1609753500000,1.98490000,2.03930000,1.95230000,2.01970000,100757.79000000
1609754400000,2.02190000,2.06500000,1.92210000,1.92210000,185042.30000000
1609755300000,1.92210000,1.93920000,1.86000000,1.90140000,154674.68000000
1609756200000,1.90000000,1.99000000,1.88050000,1.99000000,51141.77000000
1609757100000,1.98640000,2.04550000,1.95690000,2.03410000,65334.21000000
1609758000000,2.02550000,2.04090000,1.94110000,1.98240000,65055.12000000
1609758900000,1.99260000,2.02450000,1.96340000,2.01150000,62910.14000000
1609759800000,2.00540000,2.02110000,1.97460000,2.02000000,37348.54000000
1609760700000,2.02000000,2.05820000,1.99000000,2.04290000,57103.31000000
1609761600000,2.04290000,2.05280000,2.01980000,2.04000000,22530.67000000
1609762500000,2.03960000,2.10610000,2.02650000,2.10050000,58859.71000000
1609763400000,2.10060000,2.19980000,2.08020000,2.17670000,160005.10000000
1609764300000,2.17670000,2.18530000,2.09240000,2.12140000,76769.65000000
1609765200000,2.11880000,2.11880000,2.07120000,2.08760000,37950.04000000
1609766100000,2.08660000,2.16050000,2.06000000,2.13560000,67565.63000000
1609767000000,2.13300000,2.15710000,2.12350000,2.13600000,37070.86000000
1609767900000,2.13590000,2.17770000,2.12000000,2.14880000,41351.86000000
1609768800000,2.15230000,2.18140000,2.11650000,2.12710000,68616.24000000
1609769700000,2.12800000,2.19120000,2.12490000,2.19120000,51259.21000000
1609770600000,2.19130000,2.20410000,2.18040000,2.20410000,70838.14000000
1609771500000,2.19710000,2.26750000,2.18800000,2.24720000,61464.66000000
1609772400000,2.24730000,2.29040000,2.23920000,2.27830000,54626.79000000
1609773300000,2.27830000,2.34780000,2.27830000,2.34540000,87071.53000000
1609774200000,2.34450000,2.34740000,2.25550000,2.27000000,100226.56000000
1609775100000,2.27000000,2.29570000,2.21030000,2.27860000,92961.88000000
1609776000000,2.27570000,2.28770000,2.16130000,2.17400000,111681.95000000
1609776900000,2.17360000,2.19680000,2.11790000,2.18000000,71463.04000000
1609777800000,2.18860000,2.19230000,2.12950000,2.16730000,33869.52000000
1609778700000,2.16320000,2.18950000,2.14460000,2.17670000,14324.14000000
1609779600000,2.18480000,2.30000000,2.18480000,2.22610000,96101.75000000
1609780500000,2.21620000,2.26920000,2.20560000,2.23290000,34187.06000000
1609781400000,2.23290000,2.24030000,2.18350000,2.18920000,27743.70000000
1609782300000,2.18500000,2.21050000,2.15390000,2.20080000,27394.57000000
1609783200000,2.20200000,2.27020000,2.20190000,2.26550000,29021.84000000
1609784100000,2.27010000,2.31050000,2.23000000,2.26450000,185839.93000000
1609785000000,2.26350000,2.27430000,2.24000000,2.26240000,20232.14000000
1609785900000,2.26310000,2.27140000,2.22140000,2.23200000,17190.29000000
1609786800000,2.23690000,2.27210000,2.23140000,2.24100000,29736.53000000
1609787700000,2.24030000,2.38000000,2.24010000,2.33960000,106636.71000000
1609788600000,2.34060000,2.39900000,2.30860000,2.39500000,82510.44000000
1609789500000,2.39500000,2.45000000,2.35230000,2.43970000,130084.47000000
1609790400000,2.43970000,2.46080000,2.36470000,2.42500000,200634.93000000
1609791300000,2.42500000,2.43010000,2.33700000,2.35430000,153881.14000000
1609792200000,2.35680000,2.35870000,2.28800000,2.29270000,71814.06000000
1609793100000,2.29240000,2.32330000,2.28010000,2.28170000,63122.34000000
1609794000000,2.28170000,2.32460000,2.27340000,2.31910000,64321.18000000
1609794900000,2.31900000,2.32050000,2.24000000,2.25090000,79695.53000000
1609795800000,2.25890000,2.28490000,2.18000000,2.18690000,125786.85000000
1609796700000,2.18690000,2.23410000,2.18580000,2.23020000,41219.23000000
